label,x_left,y_left,x_right,y_right
left,0.250904143,0.545642912,0.243126914,0.558393955
down,0.53063035,0.741489589,0.51999408,0.724128008
right,0.792406797,0.464931786,0.78951776,0.464609444
up,0.441392452,0.163747534,0.446897328,0.158640519
down,0.577526987,0.705311775,0.57768321,0.719641149
up,0.487088472,0.34445563,0.488681793,0.349421799
left,0.309706002,0.417563081,0.311850727,0.432389051
right,0.666542768,0.532858253,0.670433462,0.540619254
left,0.220561072,0.547879279,0.224248543,0.568197966
right,0.740356386,0.522680819,0.745753706,0.537895441
right,0.614846945,0.492417336,0.615202129,0.490098178
left,0.233782098,0.504418612,0.228875831,0.511526465
right,0.813769102,0.418630302,0.81223768,0.423655957
down,0.506523728,0.798052728,0.508436561,0.799881518
left,0.208696797,0.487588763,0.212065831,0.508295715
right,0.704744697,0.430977464,0.710177064,0.440570384
left,0.337485582,0.530682266,0.341841727,0.549530447
right,0.769064307,0.444130421,0.768148482,0.455698133
down,0.450330913,0.795729101,0.451617926,0.785841048
left,0.344720244,0.525801897,0.346296221,0.539610505
up,0.457513452,0.149825901,0.467211425,0.155390605
up,0.461976528,0.279327512,0.466003507,0.28115508
up,0.564471662,0.171748415,0.570465565,0.170767784
up,0.514239311,0.244714886,0.518209875,0.245011196
down,0.542752504,0.75263387,0.545120478,0.751546323
down,0.539389551,0.850824952,0.539913893,0.83196789
left,0.239501968,0.410049081,0.246989712,0.434145182
left,0.13035503,0.390864015,0.126855329,0.422854424
right,0.830069959,0.54839009,0.830910265,0.55275178
left,0.29800427,0.522112906,0.300213814,0.534757018
right,0.822122931,0.43235749,0.822225034,0.434750915
left,0.282568067,0.522816539,0.286642969,0.528554916
down,0.497372121,0.788733482,0.49665451,0.767698526
left,0.221305326,0.498024285,0.223907903,0.505857944
right,0.825933993,0.549819171,0.829055607,0.553027689
up,0.546961248,0.326213151,0.545937836,0.326489002
right,0.795485675,0.420134276,0.796010613,0.422777057
right,0.891169786,0.534719408,0.888760507,0.535651982
left,0.162042722,0.522602618,0.161660314,0.559502363
down,0.535249293,0.811193228,0.533450484,0.804454446
down,0.585408866,0.733435273,0.587085187,0.752949536
left,0.13126725,0.408632547,0.134878054,0.439156651
right,0.873474836,0.516591489,0.875178516,0.522071958
right,0.840061545,0.454129517,0.842496812,0.457171082
up,0.512670636,0.182775304,0.518886805,0.186888918
up,0.501470149,0.340436757,0.501744092,0.341693491
right,0.769156039,0.443520367,0.777777493,0.452616304
left,0.186691761,0.440969348,0.189318433,0.46876958
left,0.267407924,0.459654152,0.27105999,0.474778295
up,0.465268254,0.157049954,0.469592601,0.163101569
left,0.336481899,0.475795239,0.333716273,0.492037565
down,0.51560539,0.740287006,0.514356434,0.743788183
down,0.519289553,0.840078473,0.518065274,0.839054823
left,0.171643004,0.52025795,0.174600974,0.561605513
left,0.259497106,0.539695382,0.260947824,0.557873785
right,0.877178907,0.448392421,0.881358862,0.448962331
up,0.49308604,0.165014312,0.499431044,0.177489549
up,0.50668323,0.346033037,0.501780093,0.346865803
down,0.468900502,0.774661005,0.471087664,0.775744259
down,0.48815915,0.778149605,0.4856942,0.773003042
left,0.131992549,0.410448998,0.132926434,0.448527157
left,0.248074666,0.461506009,0.248937115,0.482383162
up,0.466575444,0.3058303,0.467465848,0.305118203
left,0.242301747,0.461033821,0.243023977,0.481606662
down,0.45641163,0.684576273,0.446288109,0.696769476
down,0.467676282,0.700617731,0.465348721,0.717223227
right,0.674367309,0.462599844,0.680897772,0.481491446
left,0.129986197,0.524773955,0.130743667,0.550507247
down,0.472096801,0.682053983,0.475016773,0.698508918
right,0.670113206,0.424157798,0.673336089,0.428564668
left,0.250661165,0.524021864,0.254094094,0.55989486
down,0.575536788,0.688374102,0.579929292,0.715712249
up,0.584212542,0.31991443,0.579409957,0.320019186
down,0.452755958,0.685961783,0.453239918,0.710661888
up,0.43527621,0.182177588,0.438774496,0.194162712
down,0.517053187,0.839192152,0.515389204,0.838422
right,0.817635894,0.429928094,0.815999925,0.445416629
up,0.574923575,0.176046371,0.575424731,0.168672055
up,0.581670821,0.155090198,0.581222415,0.146524742
right,0.799037933,0.432168841,0.798714995,0.439039528
left,0.295695752,0.467566401,0.297576606,0.498006046
left,0.20985578,0.526549041,0.210640147,0.566497028
up,0.57368654,0.264820546,0.574860334,0.270339698
down,0.561941743,0.730751455,0.566598952,0.755580842
up,0.533932149,0.242071241,0.535423398,0.251816064
left,0.259670615,0.421910942,0.260948032,0.457352519
down,0.575688124,0.660190642,0.576520383,0.659766436
down,0.453103721,0.642316699,0.457645983,0.653695524
down,0.517806947,0.754546523,0.524629295,0.780057132
down,0.529079735,0.697346509,0.531012595,0.723703265
left,0.283028126,0.510106504,0.281009465,0.517843187
right,0.792317986,0.453559369,0.790746629,0.471340269
up,0.477390885,0.235591635,0.478167832,0.241751105
right,0.789839685,0.487204462,0.787413061,0.493596196
up,0.564270914,0.222783938,0.568385065,0.228036553
down,0.547692001,0.815081656,0.550587714,0.815636456
left,0.467870623,0.527162313,0.465081662,0.542754769
left,0.35034439,0.415971786,0.349049985,0.431680501
left,0.22318387,0.524827719,0.228562608,0.556723773
up,0.454417497,0.221453965,0.455902696,0.228667036
right,0.668005407,0.497044474,0.669977605,0.519879222
up,0.528860807,0.257712841,0.52608496,0.268193752
left,0.340356886,0.418516666,0.344321787,0.437615097
up,0.513373435,0.122510701,0.516806364,0.141083613
right,0.884124219,0.554088712,0.884712219,0.561517358
right,0.740372062,0.416798145,0.743220568,0.435103893
left,0.230723426,0.422360629,0.233244523,0.46430108
right,0.685359895,0.520999372,0.688056588,0.538186133
down,0.485530853,0.675980031,0.487100095,0.686369538
down,0.563448191,0.679225087,0.573339224,0.708109856
left,0.251494616,0.515877008,0.25244686,0.565446973
right,0.755535841,0.426488489,0.753031015,0.449115455
down,0.48355636,0.729374528,0.484464467,0.751915693
down,0.50925535,0.64280653,0.510009527,0.669684649
right,0.723162293,0.499633431,0.722066641,0.52959466
down,0.508572042,0.818219602,0.507064581,0.842181563
left,0.262506872,0.524192274,0.2537781,0.559901774
down,0.484406292,0.714691043,0.477770776,0.720351577
right,0.866558671,0.544956744,0.869092047,0.558521926
up,0.461688519,0.280426115,0.460304141,0.278992921
down,0.528779149,0.672162175,0.523890793,0.671659648
down,0.432695657,0.85847193,0.436723709,0.848590791
up,0.509466708,0.32358849,0.509639025,0.33208707
up,0.539922059,0.225851923,0.540132463,0.234392211
left,0.18851389,0.435918361,0.188659862,0.453121483
left,0.129002169,0.562463284,0.132531106,0.575689971
up,0.529573858,0.239003748,0.529083312,0.23965925
right,0.753454566,0.407373309,0.752695799,0.409490407
down,0.484077275,0.682982445,0.482901782,0.688097715
up,0.449638575,0.177749559,0.454200059,0.187147632
down,0.494663626,0.83450675,0.499429107,0.837090671
left,0.257391423,0.43607986,0.26423344,0.460827947
right,0.798568189,0.54845053,0.79660821,0.563133061
left,0.328388691,0.486131549,0.330920666,0.497371316
up,0.473457903,0.332770467,0.47074005,0.337590098
right,0.698974192,0.490957946,0.697763979,0.512995422
left,0.328090996,0.528551817,0.331959218,0.537991047
right,0.697713137,0.428961933,0.70193243,0.452245444
right,0.76136148,0.455774218,0.759081483,0.470826805
left,0.336859405,0.475540549,0.344870836,0.497738659
left,0.300767213,0.434473157,0.307883382,0.454190999
down,0.465079784,0.706412733,0.465572566,0.71844691
up,0.508974969,0.27294004,0.506992877,0.27434966
up,0.484555751,0.243103638,0.488698006,0.265049487
down,0.56237179,0.809155703,0.56591624,0.847408354
down,0.467796266,0.828561306,0.472439378,0.831875086
up,0.495475382,0.317237586,0.496095687,0.332909584
down,0.494920403,0.823716342,0.493620157,0.834203362
right,0.846686006,0.530623198,0.848178625,0.548537791
left,0.137015224,0.492929161,0.13785319,0.516024172
up,0.531023622,0.12036597,0.531235278,0.137405992
up,0.513632357,0.284852475,0.511246622,0.287002206
right,0.814650953,0.473599613,0.817205608,0.485713512
left,0.227116436,0.527950883,0.221398503,0.544384778
right,0.769999743,0.52636832,0.760663748,0.563348949
up,0.465058893,0.190224022,0.465266109,0.18787083
down,0.549725473,0.628627241,0.547854304,0.642295122
right,0.741481185,0.467351407,0.73744601,0.484473974
up,0.5466097,0.216323987,0.549222291,0.228984743
left,0.26153788,0.521663904,0.264888674,0.554238677
down,0.496517181,0.83022207,0.499439508,0.848227084
down,0.558627248,0.702910066,0.559889197,0.753123999
right,0.778570354,0.417494327,0.78323406,0.437031537
up,0.519104719,0.142450541,0.523407519,0.159577295
right,0.661896944,0.520882189,0.666542411,0.543737948
down,0.467783064,0.777779937,0.464694411,0.791681528
left,0.353729814,0.505709589,0.360007614,0.529939711
right,0.816187143,0.509638846,0.816558838,0.534357131
right,0.849756062,0.548737228,0.843252361,0.561927021
up,0.50128907,0.332787633,0.500221789,0.343129426
up,0.520074546,0.319671661,0.516972303,0.332960993
down,0.569445014,0.697270751,0.571237385,0.728664219
up,0.460695148,0.155789003,0.457123727,0.169757426
right,0.784091413,0.45845148,0.786856472,0.475438774
up,0.471583098,0.275269866,0.474765033,0.282560915
down,0.531766236,0.722579718,0.533342123,0.721319914
left,0.293067098,0.434849083,0.295103163,0.454185456
left,0.275860727,0.421107203,0.282019734,0.437367648
right,0.891508639,0.518900931,0.893247783,0.532753646
right,0.710694849,0.531351984,0.711684763,0.550311506
left,0.27986002,0.493065,0.283377618,0.515414536
right,0.859847963,0.533483565,0.854650915,0.55980438
up,0.53258425,0.19735536,0.5327003,0.213659436
up,0.589918673,0.297641814,0.5875687,0.301498383
down,0.563799441,0.630710602,0.568584323,0.66088295
down,0.496475488,0.760892928,0.500682473,0.796292305
right,0.890133619,0.442946553,0.893448293,0.448044568
up,0.482153714,0.149104208,0.480463594,0.148667991
left,0.309584111,0.497451574,0.306964636,0.51445204
up,0.543863058,0.2389341,0.540043771,0.262503147
up,0.536818266,0.146195322,0.537007868,0.167845652
right,0.620076537,0.453297883,0.616822422,0.474406689
down,0.516107023,0.722474217,0.511204183,0.730923295
down,0.531976759,0.810443342,0.539446115,0.861712813
left,0.137917817,0.407188386,0.144430399,0.442977339
down,0.504109144,0.792956889,0.497879773,0.786248922
left,0.349151134,0.502535403,0.348915368,0.517593622
down,0.455013871,0.76559639,0.453735173,0.763570249
right,0.864736795,0.430032045,0.873077333,0.445107639
down,0.502437651,0.798568785,0.517510474,0.814006448
right,0.761625648,0.405314058,0.764301658,0.423641771
up,0.495370656,0.420346946,0.496543795,0.436019421
up,0.429478437,0.256441832,0.431337625,0.265107661
left,0.165249124,0.490481496,0.175277472,0.528940439
left,0.285346717,0.428199679,0.2900379,0.462016672
down,0.552280545,0.842307627,0.552048206,0.833391249
right,0.689577878,0.454568863,0.695509434,0.479347974
up,0.454188466,0.258136004,0.456849456,0.273834348
up,0.534188211,0.252453446,0.532280743,0.26735729
right,0.69362402,0.45238924,0.695625484,0.471252888
down,0.579250753,0.733610868,0.588041067,0.773540556
left,0.214104593,0.391924739,0.217035294,0.437003523
right,0.718356013,0.505194962,0.717595756,0.537262678
left,0.228462934,0.479197234,0.224189386,0.517939091
up,0.504633665,0.395933747,0.502025902,0.41323632
right,0.464767277,0.499123961,0.462671846,0.514152586
right,0.881619632,0.467003077,0.877981246,0.478178948
left,0.168383107,0.527018547,0.166219369,0.567994177
up,0.540282488,0.133017793,0.539021671,0.150269449
left,0.298338741,0.502309561,0.300397396,0.545901
right,0.882015824,0.533620417,0.879123092,0.549698353
up,0.467060447,0.309754014,0.463017106,0.322233558
down,0.452033013,0.795132279,0.452976912,0.794882238
up,0.535109699,0.293337971,0.532167137,0.311763793
down,0.440612674,0.806680262,0.44262591,0.827146888
right,0.862886667,0.527674258,0.867947817,0.550440073
left,0.251919746,0.536719859,0.251548082,0.574440539
up,0.481216431,0.269002885,0.478962332,0.285656571
up,0.526742876,0.259298921,0.524056435,0.268934876
down,0.574890912,0.738207459,0.574308157,0.734465837
right,0.896487415,0.498006552,0.900187433,0.507566512
right,0.725569725,0.510631621,0.726684868,0.535768986
up,0.578665197,0.331597984,0.572290421,0.342083424
right,0.812415183,0.414091229,0.81139797,0.421465188
down,0.474369168,0.793074012,0.466356486,0.817505896
down,0.547320485,0.713937998,0.544061601,0.766889036
up,0.527862668,0.291612148,0.529156744,0.300829291
down,0.473785192,0.727738917,0.480061918,0.758460641
up,0.498040974,0.227300316,0.495729834,0.230629459
left,0.255157501,0.538486063,0.258330703,0.571285605
up,0.510240018,0.195772469,0.516937494,0.189230263
left,0.256427497,0.492764086,0.256532758,0.49757117
left,0.140554681,0.570205867,0.145125136,0.564911902
right,0.818948328,0.464145064,0.822177827,0.453922272
left,0.34101817,0.551472485,0.336932212,0.555712283
up,0.535009623,0.287676424,0.536729097,0.277578622
right,0.784854889,0.466491789,0.785979867,0.447980434
left,0.211552918,0.566877723,0.208787113,0.569286466
right,0.699988186,0.491490841,0.699196398,0.483487815
down,0.511104822,0.797397971,0.500241876,0.771247685
left,0.220122963,0.454331011,0.216742039,0.437231809
up,0.539651692,0.14219214,0.538973033,0.128666654
left,0.140459239,0.473004133,0.137889296,0.462397605
up,0.502864778,0.313011497,0.499222159,0.305850238
