 block, trial, offer_right, offer_left, exp_value_right, exp_value_left, key, key_ID, chosen_card, unchosen_card, rt, reward
0,1, 1.png, 2.png,0.69358862,0.38187668, pressed left button,4,2,1,1.2624658,0
0,2, 2.png, 1.png,0.3963755,0.69056294, pressed left button,4,1,2,0.6347775,0
0,3, 2.png, 1.png,0.42184579,0.71319523, pressed right button,5,2,1,0.5317276,1
0,4, 2.png, 1.png,0.41592763,0.68607327, pressed right button,5,2,1,0.7463403,0
0,5, 2.png, 1.png,0.40928682,0.66128443, pressed left button,4,1,2,0.5421418,1
0,6, 1.png, 2.png,0.69511306,0.42147605, pressed right button,5,1,2,0.62983,0
0,7, 2.png, 1.png,0.41316813,0.72510969, pressed right button,5,2,1,1.2290518,0
0,8, 1.png, 2.png,0.67753924,0.4452702, pressed left button,4,2,1,0.592985,0
0,9, 1.png, 2.png,0.66872967,0.43634603, pressed right button,5,1,2,0.5497254,1
0,10, 2.png, 1.png,0.48269385,0.64560663, pressed left button,4,1,2,0.721588,0
0,11, 1.png, 2.png,0.62928264,0.44708582, pressed left button,4,2,1,0.7724788,1
0,12, 2.png, 1.png,0.41062622,0.63827553, pressed left button,4,1,2,0.7838512,1
0,13, 1.png, 2.png,0.63700392,0.49079817, pressed right button,5,1,2,0.6336318,0
0,14, 1.png, 2.png,0.62446919,0.50851058, pressed left button,4,2,1,1.2902047,1
0,15, 1.png, 2.png,0.60904519,0.56138499, pressed left button,4,2,1,0.6778398,1
0,16, 1.png, 2.png,0.57690435,0.56250636, pressed left button,4,2,1,0.5122174,1
0,17, 1.png, 2.png,0.59423321,0.5480705, pressed left button,4,2,1,0.4889334,1
0,18, 1.png, 2.png,0.58575815,0.55178611, pressed left button,4,2,1,0.5437895,1
0,19, 1.png, 2.png,0.59886733,0.54322118, pressed left button,4,2,1,0.6081622,0
0,20, 1.png, 2.png,0.55970336,0.57398473, pressed right button,5,1,2,0.5423583,0
0,21, 1.png, 2.png,0.52668733,0.53910594, pressed right button,5,1,2,0.6285139,0
0,22, 2.png, 1.png,0.53945614,0.48536218, pressed right button,5,2,1,0.6630219,1
0,23, 2.png, 1.png,0.55485135,0.50111334, pressed right button,5,2,1,0.5634329,0
0,24, 1.png, 2.png,0.49594437,0.51798414, pressed right button,5,1,2,0.6357941,0
0,25, 2.png, 1.png,0.5357713,0.52664975, pressed left button,4,1,2,0.5720269,0
0,26, 1.png, 2.png,0.5428878,0.5369896, pressed right button,5,1,2,0.5146313,0
0,27, 2.png, 1.png,0.5293018,0.4979855, pressed right button,5,2,1,0.3694125,1
0,28, 1.png, 2.png,0.45972423,0.50692946, pressed left button,4,2,1,0.5644579,0
0,29, 2.png, 1.png,0.50359935,0.49828841, pressed right button,5,2,1,0.5479425,0
0,30, 2.png, 1.png,0.54197855,0.47420307, pressed right button,5,2,1,0.3934863,1
0,31, 2.png, 1.png,0.57129608,0.47101485, pressed right button,5,2,1,0.5686655,1
0,32, 1.png, 2.png,0.47660617,0.59351306, pressed left button,4,2,1,0.5655268,0
0,33, 1.png, 2.png,0.50878503,0.59973273, pressed left button,4,2,1,0.4799553,0
0,34, 1.png, 2.png,0.52913878,0.62561819, pressed right button,5,1,2,0.3615985,1
