,label,x_left,y_left,x_right,y_right
0,5,0.49525866,0.6618873,0.49570996,0.6556164
1,4,0.5001355,0.5334794,0.49676788,0.5348854
2,5,0.49042675,0.52662855,0.49528027,0.52475566
3,4,0.49031493,0.521331,0.49454346,0.53073937
4,4,0.5009327,0.5105764,0.5026297,0.51024
5,4,0.49527708,0.5106417,0.4943952,0.5169778
6,4,0.4875114,0.50676894,0.4884217,0.51493376
7,4,0.49121085,0.54492456,0.4921279,0.53544676
8,5,0.4997134,0.53354037,0.49871162,0.5425294
9,4,0.48802555,0.51690567,0.4863329,0.5216755
10,4,0.5034555,0.51647556,0.4983967,0.5151057
11,4,0.50130135,0.49519938,0.49955526,0.50461674
12,5,0.48836488,0.5120926,0.4887265,0.5147153
13,4,0.4812015,0.52910036,0.4802585,0.53553367
14,4,0.4884714,0.4982198,0.4882853,0.5090941
15,5,0.47671017,0.4987956,0.4791458,0.50267845
16,4,0.481258,0.5190791,0.48061344,0.5229373
17,4,0.50118715,0.53306806,0.49803123,0.5290113
18,4,0.4932992,0.510188,0.49322754,0.522455
19,5,0.49810588,0.492638,0.49608916,0.5002764
20,5,0.4939595,0.49207518,0.49276727,0.50398564
21,4,0.48717713,0.5159968,0.4856788,0.51646
22,4,0.49444252,0.5170336,0.48941308,0.53284985
23,4,0.49874926,0.4904999,0.49701136,0.496486
24,4,0.49546865,0.5103164,0.4952228,0.51421845
25,5,0.49108756,0.5117918,0.49177346,0.5169322
26,4,0.49634683,0.5185186,0.4953404,0.52167225
27,5,0.49664262,0.5256482,0.49956524,0.5338779
28,5,0.49048656,0.5069783,0.49200445,0.51085186
29,4,0.47517452,0.5080999,0.47538066,0.51150167
30,5,0.48980752,0.5095267,0.4818112,0.512783
31,4,0.49721518,0.49362567,0.49724987,0.49533692
32,5,0.48950657,0.5210483,0.488999,0.5223498
33,5,0.4926641,0.5067275,0.49337938,0.5149764
34,4,0.49064928,0.4973994,0.49299017,0.5040983
35,4,0.498118,0.5222497,0.4952985,0.5314146
36,5,0.4902422,0.51089597,0.48935324,0.51893294
37,5,0.5026871,0.51394796,0.4990332,0.52312726
38,5,0.4957413,0.4939997,0.4961996,0.50247455
39,4,0.49163148,0.49126047,0.48944855,0.49877533
40,4,0.4784758,0.50682503,0.47524357,0.50915194
41,4,0.494855,0.503532,0.4928112,0.5265969
42,5,0.49259174,0.5097023,0.48650995,0.50998235
43,4,0.47790343,0.5082061,0.47906286,0.5104686
44,4,0.49378154,0.5009451,0.49722835,0.5055273
45,5,0.49424317,0.5068943,0.48831472,0.5139433
46,5,0.4897848,0.51012707,0.49087688,0.5200554
47,4,0.48799473,0.5238855,0.48766273,0.53733003
48,4,0.4921659,0.51898986,0.4887204,0.52607864
49,5,0.48924947,0.50324655,0.48962125,0.5056292
50,4,0.49592483,0.4938662,0.49147016,0.4968917
51,5,0.49233133,0.50549114,0.4916737,0.5112971
52,5,0.48062992,0.51930684,0.482507,0.526701
53,4,0.47874084,0.51643205,0.48044974,0.52513194
54,5,0.49898285,0.52623713,0.49544638,0.5248785
55,5,0.4948197,0.5044888,0.49389485,0.5109935
56,5,0.49958202,0.51558596,0.49900997,0.5205223
57,4,0.4939164,0.5116813,0.49141505,0.5164571
58,4,0.5044501,0.4991591,0.50989956,0.5024116
59,4,0.49238697,0.5085216,0.49054322,0.5076047
60,4,0.48999316,0.5125991,0.49157307,0.5193841
61,5,0.5200514,0.5325257,0.5144179,0.5218337
62,4,0.4881461,0.51733893,0.4876262,0.51911163
63,5,0.5041702,0.521091,0.5037273,0.5291918
64,5,0.48601934,0.5239131,0.49104518,0.5311243
65,5,0.5012124,0.52216303,0.50217235,0.5264424
66,4,0.48854458,0.49883592,0.4859619,0.51028746
67,4,0.49286276,0.52646995,0.49196824,0.52994055
68,5,0.48359987,0.49837568,0.48166138,0.5077045
69,5,0.49722263,0.5080718,0.49792323,0.5146686
70,5,0.48468158,0.51965123,0.4870734,0.5256562
71,5,0.49667275,0.5121351,0.49320805,0.5144658
72,4,0.5068881,0.516833,0.5042846,0.5155778
73,5,0.48396224,0.50969124,0.48153087,0.50365376
74,4,0.49570543,0.50164634,0.49410686,0.51622605
75,5,0.48663384,0.5201381,0.4819762,0.5201984
76,4,0.4896616,0.49973768,0.48839378,0.5096142
77,5,0.48900574,0.4929428,0.48956162,0.5012738
78,4,0.48235345,0.50034714,0.4846744,0.50437266
79,4,0.49468935,0.5096279,0.49207026,0.5178642
80,4,0.4953891,0.48950723,0.49215624,0.49735305
81,5,0.49689722,0.5297007,0.49554443,0.53797555
82,4,0.48140317,0.5126073,0.48277348,0.51770383
83,4,0.4913457,0.51172054,0.49089766,0.51074845
84,5,0.49610716,0.5019364,0.49574548,0.4958757
85,4,0.48629794,0.51693964,0.48574784,0.51163244
86,5,0.491109,0.50273,0.4902756,0.49912715
87,4,0.49804002,0.5077746,0.49820518,0.50325376
88,4,0.50332737,0.51074743,0.49942335,0.5060163
89,4,0.5141135,0.51597154,0.5150014,0.5102568
90,5,0.49754447,0.5282225,0.4942248,0.5338053
91,5,0.4953655,0.4940187,0.49311,0.4968977
92,4,0.4975704,0.4863473,0.4947781,0.4954208
93,4,0.5004755,0.50356513,0.49569458,0.51449704
94,4,0.4976213,0.51208854,0.49192205,0.51818943
95,4,0.4853702,0.50869817,0.4823541,0.50998306
96,5,0.49779093,0.5009593,0.49527153,0.5095096
97,5,0.47794145,0.5082797,0.47674447,0.51632583
98,5,0.48723802,0.50353324,0.48991165,0.50701445
99,4,0.49671635,0.48277727,0.4965345,0.4886053
