subject, block, trial, offer_right, offer_left, exp_value_right, exp_value_left, key, key_ID, chosen_card, unchosen_card, rt, reward
0,0,1, 2.png, 1.png,0.38187668,0.69358862, pressed right button,5,2,1,0.4885253,1
0,0,2, 1.png, 2.png,0.69056294,0.3963755, pressed left button,4,2,1,0.5233474,0
0,0,3, 2.png, 1.png,0.42184579,0.71319523, pressed right button,5,2,1,0.4197265,0
0,0,4, 2.png, 1.png,0.41592763,0.68607327, pressed left button,4,1,2,0.3642759,1
0,0,5, 1.png, 2.png,0.66128443,0.40928682, pressed right button,5,1,2,0.3519208,1
0,0,6, 2.png, 1.png,0.42147605,0.69511306, pressed left button,4,1,2,0.4165406,0
0,0,7, 2.png, 1.png,0.41316813,0.72510969, pressed left button,4,1,2,0.3111169,1
0,0,8, 2.png, 1.png,0.4452702,0.67753924, pressed left button,4,1,2,0.5828689,1
0,0,9, 2.png, 1.png,0.43634603,0.66872967, pressed left button,4,1,2,0.5924666,1
0,0,10, 1.png, 2.png,0.64560663,0.48269385, pressed right button,5,1,2,0.359468,0
0,0,11, 2.png, 1.png,0.44708582,0.62928264, pressed right button,5,2,1,0.3923323,1
0,0,12, 1.png, 2.png,0.63827553,0.41062622, pressed left button,4,2,1,0.3312815,1
0,0,13, 2.png, 1.png,0.49079817,0.63700392, pressed right button,5,2,1,0.3248675,1
0,0,14, 1.png, 2.png,0.62446919,0.50851058, pressed left button,4,2,1,0.3200298,1
0,0,15, 2.png, 1.png,0.56138499,0.60904519, pressed right button,5,2,1,0.310533,0
0,0,16, 1.png, 2.png,0.57690435,0.56250636, pressed left button,4,2,1,0.4837516,1
0,0,17, 1.png, 2.png,0.59423321,0.5480705, pressed left button,4,2,1,0.3806705,0
0,0,18, 1.png, 2.png,0.58575815,0.55178611, pressed left button,4,2,1,1.5322133,1
0,0,19, 2.png, 1.png,0.54322118,0.59886733, pressed right button,5,2,1,0.5179653,0
0,0,20, 2.png, 1.png,0.57398473,0.55970336, pressed left button,4,1,2,0.8174852,0
0,0,21, 2.png, 1.png,0.53910594,0.52668733, pressed right button,5,2,1,0.4300803,1
0,0,22, 2.png, 1.png,0.53945614,0.48536218, pressed right button,5,2,1,0.7509575,0
0,0,23, 1.png, 2.png,0.50111334,0.55485135, pressed left button,4,2,1,0.6052411,1
0,0,24, 2.png, 1.png,0.51798414,0.49594437, pressed right button,5,2,1,0.5883809,0
0,0,25, 2.png, 1.png,0.5357713,0.52664975, pressed right button,5,2,1,0.6535888,1
0,0,26, 1.png, 2.png,0.5428878,0.5369896, pressed left button,4,2,1,0.4110935,1
0,0,27, 2.png, 1.png,0.5293018,0.4979855, pressed right button,5,2,1,0.2833627,1
0,0,28, 2.png, 1.png,0.50692946,0.45972423, pressed right button,5,2,1,0.5259043,1
0,0,29, 2.png, 1.png,0.50359935,0.49828841, pressed right button,5,2,1,0.3780891,0
0,0,30, 2.png, 1.png,0.54197855,0.47420307, pressed left button,4,1,2,0.6272016,1
0,0,31, 1.png, 2.png,0.47101485,0.57129608, pressed right button,5,1,2,0.2968336,1
0,0,32, 1.png, 2.png,0.47660617,0.59351306, pressed right button,5,1,2,0.3454442,0
0,0,33, 1.png, 2.png,0.50878503,0.59973273, pressed right button,5,1,2,0.5734205,0
