,label,x_left,y_left,x_right,y_right
0,4,0.50620365,0.49263766,0.49706635,0.49456552
1,4,0.5332463,0.52768785,0.530272,0.5371293
2,5,0.5034524,0.5152128,0.49758297,0.52760816
3,5,0.50368583,0.5188311,0.49741113,0.5150511
4,4,0.5051695,0.51172775,0.500706,0.51310015
5,5,0.5034418,0.5096496,0.49627757,0.5151062
6,5,0.5058884,0.5083299,0.5009942,0.50799066
7,4,0.50644827,0.51123446,0.5006073,0.5170967
8,5,0.5071289,0.5177894,0.50049436,0.5138834
9,4,0.50378454,0.5116351,0.5002786,0.513468
10,4,0.50473005,0.51616466,0.49716404,0.5207941
11,4,0.5061569,0.5143763,0.5003865,0.51268864
12,5,0.50594985,0.5105428,0.49729833,0.51411587
13,4,0.5060421,0.51063424,0.49944204,0.5171119
14,4,0.50346065,0.51559657,0.50092304,0.5141037
15,4,0.499943,0.51289123,0.49548033,0.5130298
16,4,0.50520015,0.5059554,0.50165814,0.5113944
17,4,0.5063311,0.5115535,0.49903494,0.5138264
18,4,0.50411135,0.51577944,0.49721614,0.5191451
19,5,0.50807375,0.509142,0.50218725,0.5219731
20,5,0.5039114,0.5038653,0.50176543,0.50853723
21,5,0.50263923,0.5140702,0.49718666,0.5204161
22,5,0.50378686,0.519932,0.49930707,0.5148744
23,5,0.5075795,0.50837964,0.50069463,0.50850976
24,4,0.50344926,0.50501513,0.5030637,0.50593823
25,5,0.5080059,0.516135,0.5018707,0.5158697
26,5,0.49790576,0.52568924,0.49391764,0.52337945
27,4,0.50324804,0.5131871,0.5015053,0.5156254
28,5,0.5054474,0.51491785,0.49882418,0.51935005
29,5,0.5058061,0.5230803,0.49799278,0.5255479
30,5,0.50299907,0.4973273,0.49659014,0.4927845
31,4,0.5057867,0.513391,0.50092643,0.5152186
32,4,0.504934,0.49203497,0.50730336,0.51132196
33,5,0.49793568,0.52335185,0.49863687,0.5427531
34,4,0.50291955,0.5253557,0.49840006,0.5279664
35,4,0.49956283,0.516952,0.49632615,0.5137822
36,4,0.501935,0.5155668,0.49511147,0.5168792
37,5,0.5007504,0.5210912,0.49776003,0.51943016
38,5,0.50552547,0.51887923,0.5003231,0.5159324
39,5,0.505907,0.50557387,0.5006409,0.50928444
40,4,0.502633,0.51571167,0.5002466,0.5117485
41,5,0.50201845,0.53872347,0.49742287,0.5320925
42,5,0.49918672,0.53041595,0.49488333,0.51509184
43,4,0.50551945,0.50940055,0.4974431,0.51213825
44,5,0.5046623,0.52383363,0.49752656,0.52820754
45,5,0.5063573,0.5094448,0.50159657,0.51248467
46,5,0.5041483,0.5069689,0.5015804,0.50606996
47,4,0.5044212,0.5054567,0.49880996,0.510508
48,4,0.5080443,0.49937797,0.49818665,0.5031999
49,5,0.49580187,0.5034374,0.4927925,0.5051517
50,4,0.5064878,0.5069558,0.5024718,0.5149451
51,5,0.5029522,0.51200664,0.496864,0.5133367
52,4,0.49640307,0.5237789,0.49113083,0.53199875
53,5,0.501489,0.5118475,0.49406248,0.5198674
54,5,0.501455,0.5125772,0.4941909,0.5095964
55,4,0.5043809,0.5062815,0.49455866,0.5014203
56,4,0.50526494,0.50897014,0.5005026,0.51640683
57,5,0.50486094,0.5150085,0.50000334,0.52336204
58,4,0.5050168,0.50958014,0.49973324,0.5136555
59,4,0.5005049,0.50755477,0.49597412,0.51056576
60,5,0.5021147,0.50763017,0.49792087,0.51724833
61,4,0.50305206,0.50729895,0.49670452,0.50859207
62,4,0.50473815,0.51480454,0.49887085,0.5133761
63,5,0.5018141,0.50297874,0.49742922,0.4927554
64,5,0.5015997,0.5083089,0.49690142,0.50877374
65,5,0.5013902,0.5079797,0.49777663,0.50879705
66,4,0.50238866,0.5051493,0.49934432,0.50239986
67,4,0.5047199,0.5139222,0.49924704,0.51415527
68,4,0.49960777,0.5045225,0.4958702,0.50121176
69,5,0.50535893,0.5081828,0.5027486,0.50891894
70,4,0.5050115,0.5180895,0.5028285,0.5169599
71,4,0.5000092,0.5014103,0.4980754,0.49681655
72,4,0.5035259,0.5067917,0.4970043,0.5118313
73,5,0.50566447,0.5073634,0.49932402,0.52066034
74,5,0.50563645,0.51813096,0.49924606,0.52260596
75,5,0.502318,0.5133596,0.49836177,0.52007467
76,5,0.50430906,0.5076796,0.501172,0.51272714
77,5,0.5047403,0.5033749,0.49964467,0.5071291
78,4,0.50756955,0.49913,0.50022584,0.5056096
79,5,0.50833064,0.5168663,0.5033099,0.52836376
80,5,0.50385076,0.511116,0.49706188,0.50325143
81,4,0.50128967,0.504368,0.49657255,0.5015851
82,5,0.5045049,0.5099165,0.50059885,0.51425254
83,4,0.504623,0.5053986,0.4986596,0.5122663
84,4,0.50605756,0.49426973,0.50057185,0.49813405
85,4,0.5037444,0.50453866,0.50111604,0.50360125
86,5,0.5050682,0.5106911,0.49590316,0.5180293
87,5,0.50546485,0.5135598,0.50088215,0.51142615
88,4,0.503869,0.50871325,0.49931246,0.5073908
89,5,0.5011515,0.51384145,0.49705225,0.51912177
90,5,0.50292057,0.5126194,0.495615,0.50714123
91,5,0.49709287,0.50461936,0.5011246,0.51142645
92,4,0.5004321,0.5141218,0.49814394,0.51562315
93,4,0.50285286,0.4999593,0.49995497,0.50134313
94,4,0.4995221,0.50365806,0.49090752,0.50768113
95,5,0.5007463,0.50480604,0.49452147,0.50273776
96,4,0.5046664,0.50231326,0.49882832,0.5063647
97,4,0.49221164,0.5098267,0.48207384,0.52206457
98,5,0.5056599,0.51580536,0.5049627,0.51316905
99,5,0.4962778,0.51056063,0.49260363,0.5127661
