label,x_left,y_left,x_right,y_right
left,0.25033161,0.540232658,0.24355334,0.558014929
down,0.526733696,0.747223794,0.517014086,0.733631372
right,0.791770756,0.474126369,0.78908807,0.467119813
up,0.440014362,0.158812225,0.44734773,0.154818937
down,0.577165544,0.702468276,0.575876951,0.71988529
up,0.485413671,0.345675588,0.487615794,0.34911105
left,0.306524634,0.413779378,0.309279263,0.431579947
right,0.666163564,0.532478631,0.671166956,0.540469944
left,0.21982865,0.547211647,0.222728267,0.56545037
right,0.742057443,0.523575604,0.746160567,0.538603544
right,0.730786264,0.46637857,0.731002569,0.471470535
left,0.231011435,0.498064876,0.22863999,0.513187766
right,0.811583459,0.419359565,0.811830461,0.421068221
down,0.505466461,0.795839131,0.506948352,0.793025613
left,0.205745786,0.491255879,0.209520429,0.507623076
right,0.706318796,0.432014287,0.710353613,0.437110156
left,0.338750243,0.531499743,0.341435015,0.548702121
right,0.765907824,0.44825694,0.766449392,0.452913791
down,0.448847115,0.791972101,0.451639473,0.792065263
left,0.343101382,0.519903362,0.343396693,0.53905797
up,0.457848817,0.157202825,0.466345906,0.160088778
up,0.461406797,0.278377324,0.466047555,0.279723585
up,0.566157758,0.16706951,0.570928037,0.167404503
up,0.515470028,0.240644887,0.519426584,0.241643623
down,0.544485211,0.7542997,0.545563877,0.754434645
down,0.539284229,0.852889121,0.540945828,0.836758077
left,0.238216296,0.408933818,0.242932945,0.434687167
left,0.126311928,0.385860562,0.125791386,0.42032519
right,0.83150351,0.544422269,0.831436098,0.557169378
left,0.298154205,0.524235308,0.298339188,0.534751952
right,0.82671243,0.432549089,0.826978922,0.434028596
left,0.280626088,0.515573919,0.284892499,0.522836387
down,0.495519161,0.796429992,0.495464414,0.776567459
left,0.220420778,0.488553494,0.223028049,0.497326881
right,0.827218115,0.553006172,0.829322457,0.553815544
up,0.546931207,0.325923413,0.547109783,0.325790465
right,0.795926511,0.420578688,0.797462404,0.421642125
right,0.892407954,0.539111137,0.89099884,0.533769786
